,Midi #,Binding
0,36,ENTER
1,37,ESC
2,38,Empty
3,39,Empty
4,40,Empty
5,41,Empty
6,42,Empty
7,43,Empty
8,44,Empty
9,45,Empty
10,46,Empty
11,47,Empty
12,48,Empty
13,49,Empty
14,50,Empty
15,51,Empty
16,52,Empty
17,53,A
18,54,Q
19,55,S
20,56,W
21,57,D
22,58,E
23,59,Empty
24,60,Empty
25,61,Empty
26,62,Empty
27,63,Empty
28,64,Empty
29,65,Empty
30,66,Empty
31,67,Empty
32,68,Empty
33,69,Empty
34,70,Empty
35,71,Empty
36,72,Empty
37,73,Empty
38,74,Empty
39,75,Empty
40,76,Empty
41,77,LEFT
42,78,Empty
43,79,DOWN
44,80,UP
45,81,RIGHT
46,82,Empty
47,83,Empty
48,84,Empty
49,85,Empty
50,86,Empty
51,87,Empty
52,88,Empty
53,89,Empty
54,90,Empty
55,91,Empty
56,92,Empty
57,93,Empty
58,94,Empty
59,95,Empty
60,96,Empty
